epoch: 0	train ppl: 536.617509791	val ppl: 299.071262669	best val: 299.071262669	time (s) spent in epoch: 904.9002001285553
epoch: 1	train ppl: 298.388635338	val ppl: 236.240155414	best val: 236.240155414	time (s) spent in epoch: 898.368195772171
epoch: 2	train ppl: 240.91857981	val ppl: 198.529056734	best val: 198.529056734	time (s) spent in epoch: 909.8939890861511
epoch: 3	train ppl: 206.957950284	val ppl: 176.819645804	best val: 176.819645804	time (s) spent in epoch: 893.0429389476776
epoch: 4	train ppl: 184.098171728	val ppl: 162.626436241	best val: 162.626436241	time (s) spent in epoch: 904.9390194416046
epoch: 5	train ppl: 166.996424917	val ppl: 153.91501574	best val: 153.91501574	time (s) spent in epoch: 895.2652497291565
epoch: 6	train ppl: 153.280080862	val ppl: 143.836896691	best val: 143.836896691	time (s) spent in epoch: 893.7815353870392
epoch: 7	train ppl: 142.265421296	val ppl: 136.617307326	best val: 136.617307326	time (s) spent in epoch: 907.5294649600983
epoch: 8	train ppl: 132.767994381	val ppl: 138.167571238	best val: 136.617307326	time (s) spent in epoch: 895.2034728527069
epoch: 9	train ppl: 124.786663734	val ppl: 135.145824559	best val: 135.145824559	time (s) spent in epoch: 891.829690694809
epoch: 10	train ppl: 117.907330851	val ppl: 124.919123295	best val: 124.919123295	time (s) spent in epoch: 899.3706350326538
epoch: 11	train ppl: 112.222590305	val ppl: 125.620145944	best val: 124.919123295	time (s) spent in epoch: 896.5189678668976
epoch: 12	train ppl: 106.738363798	val ppl: 124.117853082	best val: 124.117853082	time (s) spent in epoch: 899.3717420101166
epoch: 13	train ppl: 101.717253969	val ppl: 122.190915554	best val: 122.190915554	time (s) spent in epoch: 890.8776507377625
epoch: 14	train ppl: 97.5781556275	val ppl: 119.238081633	best val: 119.238081633	time (s) spent in epoch: 893.879781961441
epoch: 15	train ppl: 93.4116626376	val ppl: 118.225742486	best val: 118.225742486	time (s) spent in epoch: 895.1233332157135
epoch: 16	train ppl: 89.7929925024	val ppl: 115.912835319	best val: 115.912835319	time (s) spent in epoch: 901.5124044418335
epoch: 17	train ppl: 86.3599465519	val ppl: 118.239966878	best val: 115.912835319	time (s) spent in epoch: 890.2659318447113
epoch: 18	train ppl: 83.3586787629	val ppl: 115.001568432	best val: 115.001568432	time (s) spent in epoch: 890.596185207367
epoch: 19	train ppl: 80.4751945369	val ppl: 117.735522941	best val: 115.001568432	time (s) spent in epoch: 909.5742676258087
epoch: 20	train ppl: 77.7475486905	val ppl: 115.012625152	best val: 115.001568432	time (s) spent in epoch: 889.4068920612335
epoch: 21	train ppl: 75.4059446753	val ppl: 115.460418572	best val: 115.001568432	time (s) spent in epoch: 894.6387748718262
epoch: 22	train ppl: 73.1493224146	val ppl: 116.938311455	best val: 115.001568432	time (s) spent in epoch: 893.4500815868378
epoch: 23	train ppl: 70.9393505737	val ppl: 117.169422654	best val: 115.001568432	time (s) spent in epoch: 905.5914192199707
epoch: 24	train ppl: 68.9753538016	val ppl: 113.915528746	best val: 113.915528746	time (s) spent in epoch: 890.2305328845978
epoch: 25	train ppl: 66.9765230397	val ppl: 113.803327552	best val: 113.803327552	time (s) spent in epoch: 888.1274144649506
epoch: 26	train ppl: 65.3291576732	val ppl: 114.5615244	best val: 113.803327552	time (s) spent in epoch: 902.1017074584961
epoch: 27	train ppl: 63.6728048814	val ppl: 116.348727844	best val: 113.803327552	time (s) spent in epoch: 896.3282954692841
epoch: 28	train ppl: 62.1333248155	val ppl: 114.633115664	best val: 113.803327552	time (s) spent in epoch: 890.188145160675
epoch: 29	train ppl: 60.7267400858	val ppl: 116.123842827	best val: 113.803327552	time (s) spent in epoch: 899.8586251735687
epoch: 30	train ppl: 59.309918978	val ppl: 114.998179554	best val: 113.803327552	time (s) spent in epoch: 889.2022156715393
epoch: 31	train ppl: 58.1581872356	val ppl: 117.862742227	best val: 113.803327552	time (s) spent in epoch: 890.1733260154724
epoch: 32	train ppl: 57.0066283738	val ppl: 116.380174645	best val: 113.803327552	time (s) spent in epoch: 889.1031742095947
epoch: 33	train ppl: 55.8009677354	val ppl: 118.068373675	best val: 113.803327552	time (s) spent in epoch: 899.2545590400696
epoch: 34	train ppl: 54.7272722005	val ppl: 117.237931682	best val: 113.803327552	time (s) spent in epoch: 890.3764247894287
epoch: 35	train ppl: 53.763096993	val ppl: 119.693273168	best val: 113.803327552	time (s) spent in epoch: 903.5451004505157
epoch: 36	train ppl: 52.8807782233	val ppl: 118.563610802	best val: 113.803327552	time (s) spent in epoch: 891.8597257137299
epoch: 37	train ppl: 51.8802933237	val ppl: 118.514202581	best val: 113.803327552	time (s) spent in epoch: 890.8933389186859
epoch: 38	train ppl: 50.9617068523	val ppl: 119.245654162	best val: 113.803327552	time (s) spent in epoch: 888.873049736023
epoch: 39	train ppl: 50.2553511711	val ppl: 120.086330525	best val: 113.803327552	time (s) spent in epoch: 900.2502439022064
