epoch: 0	train ppl: 190350.55447502408	val ppl: 2850.6360970044	best val: 2850.6360970044	time (s) spent in epoch: 106.36411881446838
epoch: 1	train ppl: 5513.957663118894	val ppl: 1262.0737532493615	best val: 1262.0737532493615	time (s) spent in epoch: 106.87377905845642
epoch: 2	train ppl: 1677.3905227985658	val ppl: 1034.1564718331551	best val: 1034.1564718331551	time (s) spent in epoch: 106.93855786323547
epoch: 3	train ppl: 973.363432535963	val ppl: 826.3475479302933	best val: 826.3475479302933	time (s) spent in epoch: 106.9758095741272
epoch: 4	train ppl: 738.644609139382	val ppl: 622.6423452685793	best val: 622.6423452685793	time (s) spent in epoch: 107.06005191802979
epoch: 5	train ppl: 576.7972991649548	val ppl: 407.07019449503866	best val: 407.07019449503866	time (s) spent in epoch: 107.09112882614136
epoch: 6	train ppl: 486.2868489175685	val ppl: 413.3052780600917	best val: 407.07019449503866	time (s) spent in epoch: 107.01007771492004
epoch: 7	train ppl: 416.488483464908	val ppl: 350.30998769489787	best val: 350.30998769489787	time (s) spent in epoch: 107.11650443077087
epoch: 8	train ppl: 355.64120566030005	val ppl: 330.30880720520753	best val: 330.30880720520753	time (s) spent in epoch: 107.05253553390503
epoch: 9	train ppl: 318.99154165103766	val ppl: 359.432586775568	best val: 330.30880720520753	time (s) spent in epoch: 107.03523135185242
epoch: 10	train ppl: 283.0803921551834	val ppl: 258.7708041906529	best val: 258.7708041906529	time (s) spent in epoch: 107.02499866485596
epoch: 11	train ppl: 255.66660125527818	val ppl: 283.1397021497393	best val: 258.7708041906529	time (s) spent in epoch: 107.07260251045227
epoch: 12	train ppl: 231.02988189700943	val ppl: 266.8112246233858	best val: 258.7708041906529	time (s) spent in epoch: 107.03072428703308
epoch: 13	train ppl: 207.2587581452451	val ppl: 223.36618124113554	best val: 223.36618124113554	time (s) spent in epoch: 107.06399512290955
epoch: 14	train ppl: 186.64448784158319	val ppl: 227.79431035904398	best val: 223.36618124113554	time (s) spent in epoch: 107.04644751548767
epoch: 15	train ppl: 172.60376747603124	val ppl: 231.02260249732336	best val: 223.36618124113554	time (s) spent in epoch: 107.00757503509521
epoch: 16	train ppl: 152.21203576441815	val ppl: 227.762452750997	best val: 223.36618124113554	time (s) spent in epoch: 106.88733530044556
epoch: 17	train ppl: 143.13226913841132	val ppl: 206.5367823297338	best val: 206.5367823297338	time (s) spent in epoch: 106.9110734462738
epoch: 18	train ppl: 131.36283227222054	val ppl: 193.67171621525156	best val: 193.67171621525156	time (s) spent in epoch: 106.86936354637146
epoch: 19	train ppl: 122.04605399600943	val ppl: 184.5707789624954	best val: 184.5707789624954	time (s) spent in epoch: 106.8564829826355
epoch: 20	train ppl: 113.46631398869253	val ppl: 175.02328439273356	best val: 175.02328439273356	time (s) spent in epoch: 106.82853150367737
epoch: 21	train ppl: 104.19846180880629	val ppl: 179.68204492642477	best val: 175.02328439273356	time (s) spent in epoch: 106.83484745025635
epoch: 22	train ppl: 96.36646762050076	val ppl: 170.17126742540648	best val: 170.17126742540648	time (s) spent in epoch: 106.86898708343506
epoch: 23	train ppl: 90.93949549005929	val ppl: 162.11134591666257	best val: 162.11134591666257	time (s) spent in epoch: 106.83805823326111
epoch: 24	train ppl: 86.54268521601892	val ppl: 156.59274308506056	best val: 156.59274308506056	time (s) spent in epoch: 106.84054851531982
epoch: 25	train ppl: 80.08922930483828	val ppl: 182.59402175052816	best val: 156.59274308506056	time (s) spent in epoch: 106.83128333091736
epoch: 26	train ppl: 75.46337638866876	val ppl: 182.9483929848231	best val: 156.59274308506056	time (s) spent in epoch: 106.85408687591553
epoch: 27	train ppl: 70.7335304272341	val ppl: 183.66181637469808	best val: 156.59274308506056	time (s) spent in epoch: 106.85268783569336
epoch: 28	train ppl: 65.97229597722693	val ppl: 180.60552426937218	best val: 156.59274308506056	time (s) spent in epoch: 106.83203601837158
epoch: 29	train ppl: 61.859000946077266	val ppl: 206.38034986998	best val: 156.59274308506056	time (s) spent in epoch: 106.84400033950806
epoch: 30	train ppl: 58.05814084095985	val ppl: 183.62154641911354	best val: 156.59274308506056	time (s) spent in epoch: 106.86012959480286
epoch: 31	train ppl: 55.50876538442725	val ppl: 206.5912821754449	best val: 156.59274308506056	time (s) spent in epoch: 106.84408855438232
epoch: 32	train ppl: 50.88654664460152	val ppl: 188.26884377931776	best val: 156.59274308506056	time (s) spent in epoch: 106.82573509216309
epoch: 33	train ppl: 48.2355819157667	val ppl: 229.8034248495025	best val: 156.59274308506056	time (s) spent in epoch: 106.85561203956604
epoch: 34	train ppl: 46.041216536250204	val ppl: 231.8118543946273	best val: 156.59274308506056	time (s) spent in epoch: 106.84598159790039
epoch: 35	train ppl: 43.26510456630654	val ppl: 204.80836583302008	best val: 156.59274308506056	time (s) spent in epoch: 106.84746098518372
epoch: 36	train ppl: 39.926279428594526	val ppl: 229.46900787205726	best val: 156.59274308506056	time (s) spent in epoch: 106.83073043823242
epoch: 37	train ppl: 37.96307680582181	val ppl: 258.9282996979367	best val: 156.59274308506056	time (s) spent in epoch: 106.84388399124146
epoch: 38	train ppl: 35.5474096464523	val ppl: 231.44848819441307	best val: 156.59274308506056	time (s) spent in epoch: 106.8498146533966
epoch: 39	train ppl: 33.29022452809922	val ppl: 296.8354657929486	best val: 156.59274308506056	time (s) spent in epoch: 106.84730100631714
