epoch: 0	train ppl: 318.54302765442384	val ppl: 175.42828169170195	best val: 175.42828169170195	time (s) spent in epoch: 52.16119170188904
epoch: 1	train ppl: 123.88446897141435	val ppl: 137.68460797029576	best val: 137.68460797029576	time (s) spent in epoch: 52.220906019210815
epoch: 2	train ppl: 81.37787345285388	val ppl: 132.26498179962	best val: 132.26498179962	time (s) spent in epoch: 52.293179512023926
epoch: 3	train ppl: 59.56229028203902	val ppl: 136.90427507580762	best val: 132.26498179962	time (s) spent in epoch: 52.3217556476593
epoch: 4	train ppl: 45.48449384328965	val ppl: 147.0167541842949	best val: 132.26498179962	time (s) spent in epoch: 52.26247477531433
epoch: 5	train ppl: 35.74042215664164	val ppl: 164.46530031346452	best val: 132.26498179962	time (s) spent in epoch: 52.206215143203735
epoch: 6	train ppl: 28.556597442042495	val ppl: 188.071966722525	best val: 132.26498179962	time (s) spent in epoch: 52.27878260612488
epoch: 7	train ppl: 23.29121376796932	val ppl: 215.76885204365524	best val: 132.26498179962	time (s) spent in epoch: 52.29312443733215
epoch: 8	train ppl: 19.321753584200213	val ppl: 249.55573034566783	best val: 132.26498179962	time (s) spent in epoch: 52.275585651397705
epoch: 9	train ppl: 16.31268733036054	val ppl: 287.0435294720714	best val: 132.26498179962	time (s) spent in epoch: 52.219598054885864
epoch: 10	train ppl: 14.002732494370855	val ppl: 330.4938764400911	best val: 132.26498179962	time (s) spent in epoch: 52.23907780647278
epoch: 11	train ppl: 12.167365035221314	val ppl: 380.82816831936105	best val: 132.26498179962	time (s) spent in epoch: 52.21944284439087
epoch: 12	train ppl: 10.775290440286888	val ppl: 445.0963215394409	best val: 132.26498179962	time (s) spent in epoch: 52.21996784210205
epoch: 13	train ppl: 9.641851755984144	val ppl: 510.5607056357853	best val: 132.26498179962	time (s) spent in epoch: 52.25010538101196
epoch: 14	train ppl: 8.71922851610306	val ppl: 583.048218540357	best val: 132.26498179962	time (s) spent in epoch: 52.22527050971985
epoch: 15	train ppl: 7.9786156804613135	val ppl: 673.9514147392042	best val: 132.26498179962	time (s) spent in epoch: 52.19691324234009
epoch: 16	train ppl: 7.359421670978865	val ppl: 766.5259794222474	best val: 132.26498179962	time (s) spent in epoch: 52.25993204116821
epoch: 17	train ppl: 6.8225206880920135	val ppl: 871.0920674862124	best val: 132.26498179962	time (s) spent in epoch: 52.23816251754761
epoch: 18	train ppl: 6.38262158661023	val ppl: 993.913865008966	best val: 132.26498179962	time (s) spent in epoch: 52.19661784172058
epoch: 19	train ppl: 6.008350295686604	val ppl: 1121.9223377928456	best val: 132.26498179962	time (s) spent in epoch: 52.202799558639526
epoch: 20	train ppl: 5.666054300589191	val ppl: 1246.4968902564012	best val: 132.26498179962	time (s) spent in epoch: 52.15949034690857
epoch: 21	train ppl: 5.385294859094556	val ppl: 1369.9463374578115	best val: 132.26498179962	time (s) spent in epoch: 52.166232109069824
epoch: 22	train ppl: 5.140000196311299	val ppl: 1517.1255561156145	best val: 132.26498179962	time (s) spent in epoch: 52.09340190887451
epoch: 23	train ppl: 4.922187470639254	val ppl: 1672.9898971257453	best val: 132.26498179962	time (s) spent in epoch: 52.1645929813385
epoch: 24	train ppl: 4.730928987213591	val ppl: 1877.3785985159438	best val: 132.26498179962	time (s) spent in epoch: 52.138840436935425
epoch: 25	train ppl: 4.542320549611577	val ppl: 2031.3613353434878	best val: 132.26498179962	time (s) spent in epoch: 52.165738344192505
epoch: 26	train ppl: 4.393083140501011	val ppl: 2237.3162749936	best val: 132.26498179962	time (s) spent in epoch: 52.19401693344116
epoch: 27	train ppl: 4.246307116292487	val ppl: 2373.614700211225	best val: 132.26498179962	time (s) spent in epoch: 52.10872769355774
epoch: 28	train ppl: 4.117345776242782	val ppl: 2586.535707986864	best val: 132.26498179962	time (s) spent in epoch: 52.057173013687134
epoch: 29	train ppl: 3.986247023281237	val ppl: 2744.025749259071	best val: 132.26498179962	time (s) spent in epoch: 52.145108222961426
epoch: 30	train ppl: 3.8799927925322595	val ppl: 2983.1309925807263	best val: 132.26498179962	time (s) spent in epoch: 52.16852807998657
epoch: 31	train ppl: 3.785774204066384	val ppl: 3083.9107232333754	best val: 132.26498179962	time (s) spent in epoch: 52.174118518829346
epoch: 32	train ppl: 3.693252451459297	val ppl: 3275.6965613883967	best val: 132.26498179962	time (s) spent in epoch: 52.130555629730225
epoch: 33	train ppl: 3.611747590870274	val ppl: 3475.224839903914	best val: 132.26498179962	time (s) spent in epoch: 52.04215431213379
epoch: 34	train ppl: 3.531673762173457	val ppl: 3612.063350039178	best val: 132.26498179962	time (s) spent in epoch: 52.02133131027222
epoch: 35	train ppl: 3.453333661866426	val ppl: 3793.217778434747	best val: 132.26498179962	time (s) spent in epoch: 52.14513301849365
epoch: 36	train ppl: 3.3879695085328656	val ppl: 4025.0190474329925	best val: 132.26498179962	time (s) spent in epoch: 52.09182286262512
epoch: 37	train ppl: 3.3223653659210073	val ppl: 4151.706559477438	best val: 132.26498179962	time (s) spent in epoch: 52.15121674537659
epoch: 38	train ppl: 3.255461696639221	val ppl: 4407.285377862869	best val: 132.26498179962	time (s) spent in epoch: 52.10760760307312
epoch: 39	train ppl: 3.200793393223596	val ppl: 4650.847721365782	best val: 132.26498179962	time (s) spent in epoch: 52.097018003463745
