epoch: 0	train ppl: 621.4300086021111	val ppl: 352.4250076573052	best val: 352.4250076573052	time (s) spent in epoch: 429.0696964263916
epoch: 1	train ppl: 358.3677488836908	val ppl: 273.08395893512767	best val: 273.08395893512767	time (s) spent in epoch: 430.2285203933716
epoch: 2	train ppl: 294.826684118048	val ppl: 239.47159593161032	best val: 239.47159593161032	time (s) spent in epoch: 429.4998927116394
epoch: 3	train ppl: 259.60043329575274	val ppl: 218.1393828185288	best val: 218.1393828185288	time (s) spent in epoch: 429.6797070503235
epoch: 4	train ppl: 235.24046330551562	val ppl: 203.75198435664566	best val: 203.75198435664566	time (s) spent in epoch: 429.5419397354126
epoch: 5	train ppl: 217.55814357534052	val ppl: 192.59356163590604	best val: 192.59356163590604	time (s) spent in epoch: 429.57437682151794
epoch: 6	train ppl: 203.05804959294326	val ppl: 183.96886301517657	best val: 183.96886301517657	time (s) spent in epoch: 429.4360544681549
epoch: 7	train ppl: 191.86239348596348	val ppl: 177.71753435944618	best val: 177.71753435944618	time (s) spent in epoch: 427.9468924999237
epoch: 8	train ppl: 182.20004119648152	val ppl: 172.06446384472963	best val: 172.06446384472963	time (s) spent in epoch: 425.04944705963135
epoch: 9	train ppl: 173.29025710654918	val ppl: 167.86896952836463	best val: 167.86896952836463	time (s) spent in epoch: 428.7222170829773
epoch: 10	train ppl: 166.01062674176046	val ppl: 163.49157843488456	best val: 163.49157843488456	time (s) spent in epoch: 426.637081861496
epoch: 11	train ppl: 159.24214275625525	val ppl: 161.31884509166323	best val: 161.31884509166323	time (s) spent in epoch: 426.29640769958496
epoch: 12	train ppl: 152.94850537536118	val ppl: 164.41464511662295	best val: 161.31884509166323	time (s) spent in epoch: 427.22801089286804
epoch: 13	train ppl: 147.68574203426448	val ppl: 156.65382701051996	best val: 156.65382701051996	time (s) spent in epoch: 435.04710698127747
epoch: 14	train ppl: 142.53341575798643	val ppl: 153.71200307935703	best val: 153.71200307935703	time (s) spent in epoch: 434.8877785205841
epoch: 15	train ppl: 138.23515505580215	val ppl: 160.36964377374147	best val: 153.71200307935703	time (s) spent in epoch: 435.6897761821747
epoch: 16	train ppl: 134.25196567205407	val ppl: 153.93083715860845	best val: 153.71200307935703	time (s) spent in epoch: 434.1596736907959
epoch: 17	train ppl: 130.29200477838742	val ppl: 153.88248956949113	best val: 153.71200307935703	time (s) spent in epoch: 433.9436070919037
epoch: 18	train ppl: 126.80771228130293	val ppl: 152.8784364230193	best val: 152.8784364230193	time (s) spent in epoch: 434.3357892036438
epoch: 19	train ppl: 123.45670610808702	val ppl: 147.80428375965545	best val: 147.80428375965545	time (s) spent in epoch: 434.6686930656433
epoch: 20	train ppl: 120.00719998057832	val ppl: 148.0070990267562	best val: 147.80428375965545	time (s) spent in epoch: 433.7687563896179
epoch: 21	train ppl: 117.41144060014895	val ppl: 147.76822326581453	best val: 147.76822326581453	time (s) spent in epoch: 433.668509721756
epoch: 22	train ppl: 114.66333761376202	val ppl: 149.46746217310667	best val: 147.76822326581453	time (s) spent in epoch: 432.5789234638214
epoch: 23	train ppl: 112.0066780230184	val ppl: 145.43628216714595	best val: 145.43628216714595	time (s) spent in epoch: 434.2627248764038
epoch: 24	train ppl: 109.54621951571711	val ppl: 146.71275145744673	best val: 145.43628216714595	time (s) spent in epoch: 433.41975116729736
epoch: 25	train ppl: 107.04019460650994	val ppl: 147.8656027672991	best val: 145.43628216714595	time (s) spent in epoch: 434.02522015571594
epoch: 26	train ppl: 105.05227142428552	val ppl: 145.3031796696345	best val: 145.3031796696345	time (s) spent in epoch: 433.89670181274414
epoch: 27	train ppl: 102.99995590923025	val ppl: 145.14633037862447	best val: 145.14633037862447	time (s) spent in epoch: 432.53017592430115
epoch: 28	train ppl: 100.74504144350466	val ppl: 147.32742203983705	best val: 145.14633037862447	time (s) spent in epoch: 432.96333861351013
epoch: 29	train ppl: 98.91623834264578	val ppl: 146.68735353871196	best val: 145.14633037862447	time (s) spent in epoch: 432.23571705818176
epoch: 30	train ppl: 97.27011740250973	val ppl: 145.64731748082323	best val: 145.14633037862447	time (s) spent in epoch: 432.86046266555786
epoch: 31	train ppl: 95.38065829916962	val ppl: 145.96483419409967	best val: 145.14633037862447	time (s) spent in epoch: 433.0581018924713
epoch: 32	train ppl: 93.61253941719929	val ppl: 146.82062849850752	best val: 145.14633037862447	time (s) spent in epoch: 433.0061779022217
epoch: 33	train ppl: 91.9535954034127	val ppl: 146.81393307295892	best val: 145.14633037862447	time (s) spent in epoch: 427.7649259567261
epoch: 34	train ppl: 90.61865423025779	val ppl: 147.586121094982	best val: 145.14633037862447	time (s) spent in epoch: 424.70429396629333
epoch: 35	train ppl: 88.89364293366404	val ppl: 149.0854796583794	best val: 145.14633037862447	time (s) spent in epoch: 425.3748643398285
epoch: 36	train ppl: 87.56087039464269	val ppl: 149.04358878085603	best val: 145.14633037862447	time (s) spent in epoch: 425.283718585968
epoch: 37	train ppl: 86.00536179876889	val ppl: 150.04639595666026	best val: 145.14633037862447	time (s) spent in epoch: 425.206223487854
epoch: 38	train ppl: 84.70419636427602	val ppl: 148.80570134673357	best val: 145.14633037862447	time (s) spent in epoch: 424.33232975006104
epoch: 39	train ppl: 83.3657459561022	val ppl: 149.64490347321984	best val: 145.14633037862447	time (s) spent in epoch: 425.2923233509064
