epoch: 0	train ppl: 605.3084558305037	val ppl: 314.5610282081671	best val: 314.5610282081671	time (s) spent in epoch: 56.68877196311951
epoch: 1	train ppl: 232.63959388418382	val ppl: 197.30033216056069	best val: 197.30033216056069	time (s) spent in epoch: 57.53628635406494
epoch: 2	train ppl: 153.91512576821847	val ppl: 160.85344357918856	best val: 160.85344357918856	time (s) spent in epoch: 57.48253011703491
epoch: 3	train ppl: 116.5373379524213	val ppl: 142.0251106955364	best val: 142.0251106955364	time (s) spent in epoch: 57.1455283164978
epoch: 4	train ppl: 93.25074521465051	val ppl: 134.00894015947156	best val: 134.00894015947156	time (s) spent in epoch: 57.02231764793396
epoch: 5	train ppl: 77.28113967498346	val ppl: 130.63203728307576	best val: 130.63203728307576	time (s) spent in epoch: 57.00259804725647
epoch: 6	train ppl: 65.47126543552024	val ppl: 130.08155141499202	best val: 130.08155141499202	time (s) spent in epoch: 57.301674604415894
epoch: 7	train ppl: 56.07106495752881	val ppl: 130.37922479708882	best val: 130.08155141499202	time (s) spent in epoch: 57.368773221969604
epoch: 8	train ppl: 48.547529879371496	val ppl: 136.08327705932663	best val: 130.08155141499202	time (s) spent in epoch: 57.06273651123047
epoch: 9	train ppl: 42.38754634549202	val ppl: 141.54248173845144	best val: 130.08155141499202	time (s) spent in epoch: 56.98478627204895
epoch: 10	train ppl: 37.230576483658815	val ppl: 148.4015770430841	best val: 130.08155141499202	time (s) spent in epoch: 57.46531867980957
epoch: 11	train ppl: 32.94524493675953	val ppl: 156.8090229360542	best val: 130.08155141499202	time (s) spent in epoch: 57.48967266082764
epoch: 12	train ppl: 29.217735017191053	val ppl: 168.88582077462374	best val: 130.08155141499202	time (s) spent in epoch: 57.429327964782715
epoch: 13	train ppl: 26.15506242808497	val ppl: 177.98667834800108	best val: 130.08155141499202	time (s) spent in epoch: 57.074928998947144
epoch: 14	train ppl: 23.54898728204068	val ppl: 189.33108703099958	best val: 130.08155141499202	time (s) spent in epoch: 56.903255462646484
epoch: 15	train ppl: 21.284401623876352	val ppl: 203.892185010101	best val: 130.08155141499202	time (s) spent in epoch: 56.91561722755432
epoch: 16	train ppl: 19.269485733615042	val ppl: 219.19728234777077	best val: 130.08155141499202	time (s) spent in epoch: 57.216655015945435
epoch: 17	train ppl: 17.643931830160803	val ppl: 236.22071673047657	best val: 130.08155141499202	time (s) spent in epoch: 57.28740167617798
epoch: 18	train ppl: 16.244713782772283	val ppl: 255.35452453055515	best val: 130.08155141499202	time (s) spent in epoch: 57.06332755088806
epoch: 19	train ppl: 15.04645984107544	val ppl: 276.123193453987	best val: 130.08155141499202	time (s) spent in epoch: 56.96289849281311
epoch: 20	train ppl: 14.033483587429965	val ppl: 298.96905081952605	best val: 130.08155141499202	time (s) spent in epoch: 57.41189360618591
epoch: 21	train ppl: 13.12082372108922	val ppl: 323.51882293407215	best val: 130.08155141499202	time (s) spent in epoch: 57.42537450790405
epoch: 22	train ppl: 12.302892967840668	val ppl: 348.3436415933142	best val: 130.08155141499202	time (s) spent in epoch: 57.2425799369812
epoch: 23	train ppl: 11.647394456928025	val ppl: 373.48844252178543	best val: 130.08155141499202	time (s) spent in epoch: 56.846534729003906
epoch: 24	train ppl: 11.013961783482612	val ppl: 401.0404803535273	best val: 130.08155141499202	time (s) spent in epoch: 57.049079179763794
epoch: 25	train ppl: 10.47742517780596	val ppl: 421.6522056795173	best val: 130.08155141499202	time (s) spent in epoch: 57.26155734062195
epoch: 26	train ppl: 9.950764550708724	val ppl: 448.7511572256711	best val: 130.08155141499202	time (s) spent in epoch: 57.115079402923584
epoch: 27	train ppl: 9.47569235525721	val ppl: 479.74242757347474	best val: 130.08155141499202	time (s) spent in epoch: 57.3097722530365
epoch: 28	train ppl: 9.055133683414565	val ppl: 516.1418344612562	best val: 130.08155141499202	time (s) spent in epoch: 57.190739154815674
epoch: 29	train ppl: 8.66268145507364	val ppl: 551.5725534630376	best val: 130.08155141499202	time (s) spent in epoch: 56.860952377319336
epoch: 30	train ppl: 8.30385392671591	val ppl: 594.3834547352034	best val: 130.08155141499202	time (s) spent in epoch: 57.213876724243164
epoch: 31	train ppl: 7.978671637511691	val ppl: 630.9731396935524	best val: 130.08155141499202	time (s) spent in epoch: 57.13226795196533
epoch: 32	train ppl: 7.68784347160143	val ppl: 669.5399556597275	best val: 130.08155141499202	time (s) spent in epoch: 57.182188510894775
epoch: 33	train ppl: 7.439088489994653	val ppl: 707.4158991198344	best val: 130.08155141499202	time (s) spent in epoch: 57.29062080383301
epoch: 34	train ppl: 7.182773195911905	val ppl: 743.0601969349054	best val: 130.08155141499202	time (s) spent in epoch: 56.89538764953613
epoch: 35	train ppl: 6.962302005397632	val ppl: 790.9897065682272	best val: 130.08155141499202	time (s) spent in epoch: 57.009854316711426
epoch: 36	train ppl: 6.776399435868484	val ppl: 831.0873263121618	best val: 130.08155141499202	time (s) spent in epoch: 57.20450687408447
epoch: 37	train ppl: 6.577754690644714	val ppl: 874.8537237634274	best val: 130.08155141499202	time (s) spent in epoch: 57.08501052856445
epoch: 38	train ppl: 6.4056906149726744	val ppl: 926.6360488250041	best val: 130.08155141499202	time (s) spent in epoch: 57.19376611709595
epoch: 39	train ppl: 6.219637115346725	val ppl: 971.126770502798	best val: 130.08155141499202	time (s) spent in epoch: 57.30209994316101
